,CFBoilerOP.exhaust_oxygen_concentration
2020-08-04 22:00:00,4.395486111111111
2020-08-04 23:00:00,4.615027777777779
2020-08-05 00:00:00,4.7478333333333325
2020-08-05 01:00:00,4.851097222222222
2020-08-05 02:00:00,5.173986111111112
2020-08-05 03:00:00,4.963902777777778
2020-08-05 04:00:00,4.986375
2020-08-05 05:00:00,4.942333333333333
2020-08-05 06:00:00,4.849152777777777
2020-08-05 07:00:00,5.2297361111111105
2020-08-05 08:00:00,5.27286111111111
2020-08-05 09:00:00,5.244694444444445
2020-08-05 10:00:00,5.379458333333334
2020-08-05 11:00:00,5.195527777777778
2020-08-05 12:00:00,5.0956666666666655
2020-08-05 13:00:00,4.9751666666666665
2020-08-05 14:00:00,5.40601388888889
2020-08-05 15:00:00,5.374902777777778
2020-08-05 16:00:00,5.435277777777776
2020-08-05 17:00:00,5.134777777777778
2020-08-05 18:00:00,5.4393472222222226
2020-08-05 19:00:00,5.219888888888888
2020-08-05 20:00:00,4.705680555555554
2020-08-05 21:00:00,4.487027777777778
2020-08-05 22:00:00,4.620756013745705
2020-08-05 23:00:00,4.947763888888891
2020-08-06 00:00:00,5.122079002079004
2020-08-06 09:00:00,5.293713692946059
2020-08-06 10:00:00,5.46175
2020-08-06 11:00:00,5.527805555555556
2020-08-06 12:00:00,5.263374999999999
2020-08-06 13:00:00,5.029277777777777
2020-08-06 14:00:00,5.120083333333334
2020-08-06 15:00:00,5.237347222222222
2020-08-06 16:00:00,5.261666666666666
2020-08-06 17:00:00,5.244375000000001
2020-08-06 18:00:00,5.2959861111111115
2020-08-06 19:00:00,5.046166666666667
2020-08-06 20:00:00,4.913013888888889
2020-08-06 21:00:00,4.869305555555554
2020-08-06 22:00:00,4.8809861111111115
2020-08-06 23:00:00,5.217694444444442
2020-08-07 00:00:00,5.3367499999999986
2020-08-07 01:00:00,5.634861111111111
2020-08-07 02:00:00,5.633319444444443
2020-08-07 03:00:00,5.893527777777778
2020-08-07 04:00:00,5.6909583333333345
2020-08-07 05:00:00,5.379694444444444
2020-08-07 06:00:00,5.5302638888888875
2020-08-07 07:00:00,5.033791666666665
2020-08-07 08:00:00,4.855833333333334
2020-08-07 09:00:00,4.825833333333334
2020-08-07 10:00:00,4.992500000000001
2020-08-07 11:00:00,5.0828750000000005
2020-08-07 12:00:00,5.10826388888889
2020-08-07 13:00:00,4.73936111111111
2020-08-07 14:00:00,4.751125000000001
2020-08-07 15:00:00,4.873680555555556
2020-08-07 16:00:00,5.166875
2020-08-07 17:00:00,5.1251250000000015
2020-08-07 18:00:00,5.039180555555556
2020-08-07 19:00:00,4.985972222222221
2020-08-07 20:00:00,4.760944444444444
2020-08-07 21:00:00,4.790848400556329
2020-08-07 22:00:00,4.8006111111111105
2020-08-07 23:00:00,4.813263888888888
2020-08-08 00:00:00,4.648222222222222
2020-08-08 01:00:00,4.957055555555555
2020-08-08 02:00:00,5.039416666666667
2020-08-08 03:00:00,4.977083333333331
2020-08-08 04:00:00,4.972305555555555
2020-08-08 05:00:00,5.380347222222222
2020-08-08 06:00:00,4.6454305555555555
2020-08-08 07:00:00,5.258555555555556
2020-08-08 08:00:00,5.105097222222223
2020-08-08 09:00:00,5.089000000000002
2020-08-08 10:00:00,4.846541666666667
2020-08-08 11:00:00,5.010444444444446
2020-08-08 12:00:00,4.781472222222222
2020-08-08 13:00:00,4.783569444444443
2020-08-08 14:00:00,4.866402777777777
2020-08-08 15:00:00,5.00975
2020-08-08 16:00:00,4.987777777777776
2020-08-08 17:00:00,4.9606666666666674
2020-08-08 18:00:00,5.000472222222222
2020-08-08 19:00:00,4.942263888888889
2020-08-08 20:00:00,5.147555555555556
2020-08-08 21:00:00,4.980541666666667
2020-08-08 22:00:00,4.608388888888888
2020-08-08 23:00:00,4.804902777777778
2020-08-09 00:00:00,5.15211111111111
2020-08-09 01:00:00,5.2896111111111095
2020-08-09 02:00:00,5.580333333333334
2020-08-09 03:00:00,5.629402777777776
2020-08-09 04:00:00,5.758763888888887
2020-08-09 05:00:00,5.426944444444444
2020-08-09 06:00:00,5.435076495132128
2020-08-09 07:00:00,5.91359011627907
2020-08-09 08:00:00,5.053379694019472
2020-08-09 09:00:00,4.772660167130921
2020-08-09 10:00:00,4.908569444444443
2020-08-09 11:00:00,4.972666666666668
2020-08-09 12:00:00,5.025222222222222
2020-08-09 13:00:00,5.008041666666666
2020-08-09 14:00:00,4.814472222222223
2020-08-09 15:00:00,5.110166666666667
2020-08-09 16:00:00,4.785861111111111
2020-08-09 17:00:00,4.824486111111112
2020-08-09 18:00:00,4.785694444444444
2020-08-09 19:00:00,4.856805555555554
2020-08-09 20:00:00,4.804875000000001
2020-08-09 21:00:00,4.948930555555555
2020-08-09 22:00:00,4.954097222222222
2020-08-09 23:00:00,4.971541666666666
2020-08-10 00:00:00,5.598472222222222
2020-08-10 01:00:00,5.568013888888889
2020-08-10 02:00:00,5.531416666666667
2020-08-10 03:00:00,5.232777777777777
2020-08-10 04:00:00,5.276513888888888
2020-08-10 05:00:00,5.579000000000001
2020-08-10 06:00:00,5.665902777777777
2020-08-10 07:00:00,5.985500000000001
2020-08-10 08:00:00,4.919083333333334
2020-08-10 09:00:00,5.001277777777777
2020-08-10 10:00:00,5.021263888888887
2020-08-10 11:00:00,4.753944444444446
2020-08-10 12:00:00,4.558236111111111
2020-08-10 13:00:00,4.755819444444444
2020-08-10 14:00:00,5.049333333333332
2020-08-10 15:00:00,4.615402777777776
2020-08-10 16:00:00,4.760624999999997
2020-08-10 17:00:00,4.892472222222221
2020-08-10 18:00:00,5.057805555555556
2020-08-10 19:00:00,5.052111111111111
2020-08-10 20:00:00,4.824416666666665
2020-08-10 21:00:00,4.856597222222222
2020-08-10 22:00:00,4.640569444444445
2020-08-10 23:00:00,4.900472222222221
2020-08-11 00:00:00,5.543402777777777
2020-08-11 01:00:00,5.324486111111112
2020-08-11 02:00:00,5.264013888888891
2020-08-11 03:00:00,5.510958333333335
2020-08-11 04:00:00,5.525368567454799
2020-08-11 05:00:00,5.776597222222222
2020-08-11 06:00:00,6.002041666666667
2020-08-11 07:00:00,5.984986111111113
2020-08-11 08:00:00,4.951430555555555
2020-08-11 09:00:00,5.062277777777779
2020-08-11 10:00:00,5.474999999999998
2020-08-11 11:00:00,5.485583333333333
2020-08-11 12:00:00,5.485305555555554
2020-08-11 13:00:00,5.356555555555555
2020-08-11 14:00:00,5.318124999999999
2020-08-11 15:00:00,5.336236111111111
2020-08-11 16:00:00,5.3547361111111105
2020-08-11 17:00:00,5.4746805555555556
2020-08-11 18:00:00,5.332013888888888
2020-08-11 19:00:00,4.94075
2020-08-11 20:00:00,5.024027777777778
2020-08-11 21:00:00,5.122027777777779
2020-08-11 22:00:00,4.99
2020-08-11 23:00:00,5.358472222222222
2020-08-12 00:00:00,5.42398611111111
2020-08-12 01:00:00,5.526097222222222
2020-08-12 02:00:00,5.421013888888888
2020-08-12 03:00:00,5.270305555555558
2020-08-12 04:00:00,5.303333333333334
2020-08-12 05:00:00,5.136166666666668
2020-08-12 06:00:00,5.310416666666666
2020-08-12 07:00:00,5.23111111111111
2020-08-12 08:00:00,5.18373611111111
2020-08-12 09:00:00,5.381180555555555
2020-08-12 10:00:00,5.635027777777777
2020-08-12 11:00:00,5.4527222222222225
2020-08-12 12:00:00,5.493583333333337
2020-08-12 13:00:00,5.435458333333332
