time,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext,SteamPipelineOP.total_cost_actual,SteamPipelineOP.total_cost_optim_array,,SteamPipelineOP.lp_steam_actual,SteamPipelineOP.electricity_power_actual,SteamPipelineOP.lp_steam_pred_avg,SteamPipelineOP.electricity_power_pred_avg,SteamPipelineOP.electricity_power_ext_opt,SteamPipelineOP.optim_status,SteamPipelineOP.lp_steam_pressure,SteamPipelineOP.hp_steam_pressure,SteamPipelineOP.coal_consumption_hour,ExtCondensTurbineOP.steam_flow_in_x,ExtCondensTurbineOP.steam_flow_in_y,ExtCondensTurbineOP.steam_flow_side_x,ExtCondensTurbineOP.steam_flow_side_y,ExtCondensTurbineOP.electricity_generation_x,ExtCondensTurbineOP.electricity_generation_y,ExtCondensTurbineOP.hp_steam_machine_opt_array_x,ExtCondensTurbineOP.hp_steam_machine_opt_array_y,ExtCondensTurbineOP.lp_steam_machine_opt_array_x,ExtCondensTurbineOP.lp_steam_machine_opt_array_y,ExtCondensTurbineOP.electricity_machine_opt_array_x,ExtCondensTurbineOP.electricity_machine_opt_array_y,ExtCondensTurbineOP.steam_pressure_in_x,ExtCondensTurbineOP.steam_pressure_in_y,ExtCondensTurbineOP.steam_temperature_in_x,ExtCondensTurbineOP.steam_temperature_in_y,ExtCondensTurbineOP.steam_pressure_out_x,ExtCondensTurbineOP.steam_pressure_out_y,ExtCondensTurbineOP.steam_temperature_out_x,ExtCondensTurbineOP.steam_temperature_out_y,ExtCondensTurbineOP.steam_pressure_side_x,ExtCondensTurbineOP.steam_pressure_side_y,ExtCondensTurbineOP.steam_temperature_side_x,ExtCondensTurbineOP.steam_temperature_side_y,BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.hp_steam_machine_opt_array,BackPresTurbineOP.electricity_machine_opt_array,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,CFBoilerOP.outlet_steam_flow_x,CFBoilerOP.outlet_steam_flow_y,CFBoilerOP.hp_steam_boiler_opt_array_x,CFBoilerOP.hp_steam_boiler_opt_array_y
2020/12/7 19:20,1.265,0.879264381,16157.9095,15393.64669,764.262803,63.41916667,19.8575,75.22353428,21.135,-3,1,0.81,3.3475,23.27406165,91.72916667,29.6425,36.65916667,0,12.43166667,5.935,92.053,49.777,27.70207745,-1.78E-11,12.9627182,9.3071,3.320833333,3.339166667,427.9508333,427.9508333,-91.2825,-95.39583333,47.13,35.39666667,0.849166667,0.423333333,324.2141667,309.4666667,33.4925,1.374166667,46.41229016,1.865181799,3.343333333,441.1083333,0.814166667,336.5608333,77.2,76.31666667,78.13,76.15
2020/12/7 19:21,1.2925,0.879264381,15952.60289,15393.64669,558.9561952,62.32666667,20.145,75.22353428,21.135,-3,1,0.81,3.319166667,22.96143675,92.83416667,29.53666667,36.56416667,0,12.645,5.915,92.053,49.777,27.70207745,-1.78E-11,12.9627182,9.3071,3.295833333,3.31,428.0391667,428.02,-91.27666667,-95.41,47.17416667,35.39666667,0.854166667,0.423333333,324.2208333,309.2958333,33.97416667,1.404166667,46.41229016,1.865181799,3.318333333,441.2716667,0.82,336.5991667,77.75833333,77.30833333,78.13,76.15
2020/12/7 19:22,1.43,0.879264381,15980.1505,15393.64669,586.5038087,61.44333333,19.88166667,75.22353428,21.135,-3,1,0.81,3.335,22.9063338,90.8975,29.57333333,36.23416667,0,12.29916667,5.918333333,92.053,49.777,27.70207745,-1.78E-11,12.9627182,9.3071,3.311666667,3.325833333,428.15,428.1383333,-91.28583333,-95.42,47.2225,35.41416667,0.850833333,0.42,324.3341667,309.245,33.64166667,1.373333333,46.41229016,1.865181799,3.335,441.4966667,0.82,336.53,76.31666667,76.58333333,78.13,76.15
2020/12/7 19:23,1.43,0.879264381,15976.32805,15393.64669,582.681359,61.57916667,20.005,75.22353428,21.135,-3,1,0.81,3.344166667,22.9378212,91.27833333,29.64333333,36.31916667,0,12.375,5.939166667,92.053,49.777,27.70207745,-1.78E-11,12.9627182,9.3071,3.3175,3.3325,428.4358333,428.4358333,-91.28333333,-95.405,47.215,35.4125,0.8525,0.424166667,324.2808333,309.3191667,33.28416667,1.345,46.41229016,1.865181799,3.34,441.6383333,0.82,336.79,76.125,76.66666667,78.13,76.15
2020/12/7 19:24,1.3475,0.879264381,15960.02584,15419.18054,540.8452975,61.69916667,19.99333333,75.37768676,21.008,-3,1,0.811666667,3.340833333,22.8238668,91.13416667,29.61583333,35.85833333,0,12.3925,5.940833333,90.939,49.581,26.30433167,3.06E-11,12.82070334,9.2521,3.315,3.33,428.8441667,428.8466667,-91.28666667,-95.41666667,47.16,35.40833333,0.851666667,0.424166667,324.385,309.31,33.51666667,1.3625,47.98885509,1.935196659,3.3375,441.855,0.82,337.0516667,76.21666667,76.65833333,76.4,76.61
2020/12/7 19:25,1.5675,0.879264381,16163.31024,15419.18054,744.1297045,61.17333333,19.99583333,75.37768676,21.008,-3,1,0.8125,3.349166667,23.1005061,90.615,29.61333333,35.6125,0,12.30833333,5.9375,90.939,49.581,26.30433167,3.06E-11,12.82070334,9.2521,3.323333333,3.336666667,429.2775,429.2775,-91.29333333,-95.42166667,47.12833333,35.40666667,0.8525,0.4225,324.4625,309.3141667,33.2675,1.345833333,47.98885509,1.935196659,3.344166667,442.0133333,0.82,337.3083333,75.75833333,76.35,76.4,76.61
2020/12/7 19:26,1.375,0.879264381,15836.43409,15419.18054,417.2535477,61.6525,20.19666667,75.37768676,21.008,-3,1,0.82,3.3275,23.0570235,92.35583333,29.58166667,35.98166667,0,12.65666667,5.945,90.939,49.581,26.30433167,3.06E-11,12.82070334,9.2521,3.303333333,3.3175,429.7191667,429.7191667,-91.28,-95.4175,47.1025,35.40416667,0.8575,0.425,324.6275,309.3175,33.695,1.371666667,47.98885509,1.935196659,3.325833333,442.1216667,0.826666667,337.58,77.01666667,77.125,76.4,76.61
2020/12/7 19:27,1.1275,0.879264381,16279.02605,15419.18054,859.8455139,61.59083333,19.97333333,75.37768676,21.008,-3,1,0.8175,3.318333333,22.87147275,90.99166667,29.56333333,35.055,0,12.50083333,5.9275,90.939,49.581,26.30433167,3.06E-11,12.82070334,9.2521,3.295,3.309166667,429.9083333,429.9083333,-91.27083333,-95.41583333,47.11416667,35.39416667,0.854166667,0.4225,324.96,309.2225,34.30916667,1.42,47.98885509,1.935196659,3.316666667,442.155,0.826666667,337.5666667,76.875,76.59166667,76.4,76.61
2020/12/7 19:28,1.815,0.879264381,15949.57736,15419.18054,530.3968203,60.86666667,20.3125,75.37768676,21.008,-3,1,0.82,3.3275,22.708413,90.025,29.4725,34.84583333,0,12.28416667,5.910833333,90.939,49.581,26.30433167,3.06E-11,12.82070334,9.2521,3.3025,3.318333333,429.7041667,429.7041667,-91.27,-95.42583333,47.22916667,35.40083333,0.853333333,0.42,325.2041667,309.1241667,33.95333333,1.389166667,47.98885509,1.935196659,3.324166667,442.1633333,0.825,337.4075,76.16666667,75.85,76.4,76.61
2020/12/7 19:29,1.3475,0.879264381,15620.3169,15263.2171,357.0997966,60.05666667,19.99416667,74.3637896,20.992,-3,1,0.82,3.351666667,22.9640607,90.09,29.63666667,35.20916667,0,12.32,5.949166667,91.247,49.543,27.23830808,-2.26E-11,12.88169095,9.2541,3.325,3.3375,429.5408333,429.5233333,-91.25,-95.43,47.2625,35.40166667,0.855833333,0.423333333,325.0441667,309.0866667,33.18916667,1.334166667,46.09064819,1.856209048,3.346666667,442.0716667,0.828333333,337.5833333,76.18333333,75.61666667,76.95,76.69
2020/12/7 19:30,1.0175,0.879264381,15790.40109,15263.2171,527.1839894,59.96583333,19.785,74.3637896,20.992,-3,1,0.8225,3.3375,22.7421495,91.155,29.67666667,34.34583333,0,12.57916667,5.950833333,91.247,49.543,27.23830808,-2.26E-11,12.88169095,9.2541,3.3125,3.325833333,429.3808333,429.3808333,-91.23083333,-95.405,47.195,35.3925,0.8575,0.425,324.9475,308.9883333,33.87333333,1.38,46.09064819,1.856209048,3.335833333,441.9716667,0.8325,337.9175,77.04166667,76.25,76.95,76.69
2020/12/7 19:31,1.43,0.879264381,15894.71317,15263.2171,631.4960725,59.12833333,20.14833333,74.3637896,20.992,-3,1,0.825,3.358333333,22.873347,88.85,29.70916667,32.97,0,12.315,5.964166667,91.247,49.543,27.23830808,-2.26E-11,12.88169095,9.2541,3.3325,3.344166667,429.0608333,429.0608333,-91.2375,-95.40666667,47.21166667,35.39666667,0.856666667,0.426666667,324.8991667,308.9033333,33.825,1.375833333,46.09064819,1.856209048,3.350833333,442.1133333,0.831666667,337.9175,76.05833333,75.24166667,76.95,76.69
2020/12/7 19:32,1.1825,0.879264381,15807.8377,15263.2171,544.6205983,59.3725,20.12916667,74.3637896,20.992,-3,1,0.829166667,3.345,22.6296945,90.79,29.7,33.83083333,0,12.6075,5.974166667,91.247,49.543,27.23830808,-2.26E-11,12.88169095,9.2541,3.3225,3.335,428.6341667,428.6391667,-91.22666667,-95.42166667,47.29,35.39916667,0.861666667,0.426666667,324.4358333,308.9433333,33.715,1.365833333,46.09064819,1.856209048,3.344166667,442.2441667,0.836666667,338.125,76.88333333,76.08333333,76.95,76.69
2020/12/7 19:33,1.3475,0.879264381,15839.37782,15263.2171,576.1607155,60.805,19.89666667,74.3637896,20.992,-3,1,0.8225,3.3625,22.8928392,89.01583333,29.75666667,32.98083333,0,12.325,5.986666667,91.247,49.543,27.23830808,-2.26E-11,12.88169095,9.2541,3.338333333,3.349166667,428.2666667,428.2758333,-91.2025,-95.40416667,47.3525,35.38833333,0.853333333,0.428333333,324.2441667,308.9466667,33.81083333,1.379166667,46.09064819,1.856209048,3.358333333,442.355,0.833333333,338.26,76.11666667,75.175,76.95,76.69
2020/12/7 19:34,1.32,0.879264381,15815.49169,15314.29369,501.1979971,60.8025,19.92333333,72.33437234,21.258,-3,1,0.824166667,3.355,22.648437,89.64583333,29.80166667,33.38,0,12.4125,5.979166667,90.988,49.706,24.65800139,2.25E-11,13.08783548,9.3101,3.330833333,3.343333333,427.9641667,427.9616667,-91.1975,-95.40583333,47.41916667,35.39583333,0.855833333,0.4275,323.9083333,308.995,33.965,1.389166667,46.71987095,1.860064518,3.350833333,442.2683333,0.8325,338.2458333,76.8,75.53333333,76.89,76.09
2020/12/7 19:35,1.4025,0.879264381,15717.07879,15314.29369,402.7850982,60.54166667,20.06833333,72.33437234,21.258,-3,1,0.8225,3.371666667,22.7346525,89.095,29.8,33.54166667,0,12.295,5.981666667,90.988,49.706,24.65800139,2.25E-11,13.08783548,9.3101,3.35,3.36,427.885,427.885,-91.1925,-95.42916667,47.41166667,35.40916667,0.855833333,0.428333333,323.5066667,309.0416667,33.29666667,1.339166667,46.71987095,1.860064518,3.369166667,442.2116667,0.83,338.2066667,76.36666667,74.93333333,76.89,76.09
2020/12/7 19:36,1.375,0.879264381,16048.24856,15314.29369,733.9548757,59.78,19.88,72.33437234,21.258,-3,1,0.824166667,3.381666667,22.9520655,89.29083333,29.89,33.4075,0,12.34333333,6.005,90.988,49.706,24.65800139,2.25E-11,13.08783548,9.3101,3.359166667,3.371666667,427.9241667,427.9241667,-91.19583333,-95.4025,47.3625,35.4125,0.856666667,0.43,323.12,309.0233333,33.25916667,1.339166667,46.71987095,1.860064518,3.378333333,442.1133333,0.83,338.49,76.59166667,75.075,76.89,76.09
2020/12/7 19:37,1.43,0.879264381,15885.74565,15314.29369,571.4519597,60.64666667,20.21833333,72.33437234,21.258,-3,1,0.828333333,3.37,22.81524525,90.5625,30.00583333,33.72166667,0,12.52833333,6.033333333,90.988,49.706,24.65800139,2.25E-11,13.08783548,9.3101,3.3475,3.36,428.035,428.035,-91.1975,-95.40833333,47.32583333,35.43166667,0.8575,0.43,322.9891667,308.9475,33.81666667,1.385,46.71987095,1.860064518,3.368333333,442.1216667,0.836666667,338.6216667,77.41666667,75.83333333,76.89,76.09
