time,ExtCondensTurbineOP.steam_flow_in_x,ExtCondensTurbineOP.steam_flow_in_y,ExtCondensTurbineOP.steam_flow_side_x,ExtCondensTurbineOP.steam_flow_side_y,ExtCondensTurbineOP.electricity_generation_x,ExtCondensTurbineOP.electricity_generation_y,SteamPipelineOP.coal_consumption_hour,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext,ExtCondensTurbineOP.hp_steam_machine_opt_array_x,ExtCondensTurbineOP.hp_steam_machine_opt_array_y,ExtCondensTurbineOP.lp_steam_machine_opt_array_x,ExtCondensTurbineOP.lp_steam_machine_opt_array_y,ExtCondensTurbineOP.electricity_machine_opt_array_x,ExtCondensTurbineOP.electricity_machine_opt_array_y
2020-12-01 23:24:00,80.70666666666666,81.28500000000001,34.030833333333334,25.017500000000002,10.818333333333333,10.45,23.512258000000003,-0.44,0.54253871681,70.00000000000522,70.00000000000936,34.87454545454455,29.368732323231246,8.579160909091886,7.658248189395758
2020-12-01 23:25:00,80.72500000000001,81.36166666666666,34.2825,25.519166666666667,10.770000000000001,10.410000000000002,23.603887999999998,-0.77,0.54253871681,70.00000000000522,70.00000000000936,34.87454545454455,29.368732323231246,8.579160909091886,7.658248189395758
2020-12-01 23:26:00,81.1375,81.50416666666666,35.15083333333333,26.064166666666665,10.782499999999999,10.371666666666666,23.588894,-0.6050000000000001,0.54253871681,70.00000000000522,70.00000000000936,34.87454545454455,29.368732323231246,8.579160909091886,7.658248189395758
2020-12-01 23:27:00,81.11416666666666,81.43916666666665,35.165,26.081666666666663,10.769166666666669,10.365,23.555574000000004,-0.6050000000000001,0.54253871681,70.00000000000522,70.00000000000936,34.87454545454455,29.368732323231246,8.579160909091886,7.658248189395758
2020-12-01 23:28:00,80.81833333333333,81.41166666666668,34.81416666666667,25.65416666666667,10.762500000000001,10.370833333333332,23.565569999999994,-0.55,0.54253871681,70.00000000000522,70.00000000000936,34.87454545454455,29.368732323231246,8.579160909091886,7.658248189395758
2020-12-01 23:29:00,81.01083333333334,81.3825,35.089999999999996,25.668333333333337,10.768333333333333,10.349166666666665,23.627212,-0.44,0.397,69.99999999996318,82.45181818182265,36.11000000000453,27.99400709220146,8.429200909084154,10.030130971954087
2020-12-01 23:30:00,81.2625,81.25916666666666,35.37833333333333,25.6575,10.805,10.326666666666666,23.730504,-0.8250000000000001,0.54253871681,69.99999999996318,82.45181818182265,36.11000000000453,27.99400709220146,8.429200909084154,10.030130971954087
2020-12-01 23:31:00,81.98333333333333,81.27166666666666,36.0175,25.709166666666665,10.865833333333335,10.2925,23.808806,-0.66,0.54253871681,69.99999999996318,82.45181818182265,36.11000000000453,27.99400709220146,8.429200909084154,10.030130971954087
2020-12-01 23:32:00,82.14666666666666,81.00583333333333,35.55916666666667,25.79583333333333,10.932500000000003,10.210833333333332,23.627212,-0.63,0.54253871681,69.99999999996318,82.45181818182265,36.11000000000453,27.99400709220146,8.429200909084154,10.030130971954087
2020-12-01 23:33:00,81.71,80.63333333333334,35.848333333333336,26.15833333333333,10.831666666666665,10.1275,23.722174000000003,-0.6875,0.397,69.99999999996318,82.45181818182265,36.11000000000453,27.99400709220146,8.429200909084154,10.030130971954087
