,BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out
2020-09-04 02:13:00,28.743636363636366,2.928181818181818,436.5445454545455,0.7936363636363637,0.8300000000000001,349.9118181818181
2020-09-04 02:14:00,28.572727272727274,2.9090909090909087,436.02454545454543,0.7781818181818182,0.8290909090909092,349.9981818181818
2020-09-04 02:15:00,28.3425,2.8733333333333335,434.605,0.7566666666666665,0.8200000000000002,350.00833333333327
2020-09-04 02:16:00,28.247500000000002,2.848333333333334,432.82,0.7483333333333334,0.8183333333333335,349.8241666666666
2020-09-04 02:17:00,28.29090909090909,2.84,431.1627272727273,0.75,0.8109090909090912,349.42999999999995
2020-09-04 02:18:00,28.83909090909091,2.8454545454545457,429.9836363636363,0.7909090909090909,0.8118181818181821,348.86545454545455
2020-09-04 02:19:00,29.923636363636366,2.855454545454545,429.63000000000005,0.8454545454545456,0.8118181818181821,347.8045454545454
2020-09-04 02:20:00,29.612000000000002,2.9019999999999997,429.8089999999999,0.8450000000000001,0.8100000000000003,346.87100000000004
2020-09-04 02:21:00,28.865833333333338,2.9458333333333333,430.77,0.8316666666666667,0.8100000000000004,346.23083333333335
2020-09-04 02:22:00,28.85090909090909,2.9645454545454544,432.1636363636363,0.8445454545454545,0.8027272727272727,345.8854545454545
2020-09-04 02:23:00,28.810909090909096,2.974545454545455,433.68727272727267,0.8563636363636363,0.7999999999999999,345.6290909090909
2020-09-04 02:24:00,28.65909090909091,2.9909090909090916,435.09454545454554,0.8636363636363636,0.7900000000000001,345.40000000000003
2020-09-04 02:25:00,28.567272727272726,2.9781818181818185,436.2863636363636,0.8599999999999999,0.7872727272727272,345.52727272727276
2020-09-04 02:26:00,28.370909090909095,2.971818181818182,436.9154545454545,0.85,0.7800000000000001,345.670909090909
2020-09-04 02:27:00,28.282727272727275,2.966363636363636,436.77909090909094,0.8454545454545453,0.7800000000000001,345.80090909090904
2020-09-04 02:28:00,28.201999999999998,2.9650000000000003,436.148,0.8400000000000001,0.7800000000000001,345.842
2020-09-04 02:29:00,28.05636363636364,2.9472727272727273,435.1209090909091,0.8200000000000002,0.7800000000000001,345.8072727272727
2020-09-04 02:30:00,28.022,2.935,434.14399999999995,0.8200000000000001,0.7729999999999999,345.734
2020-09-04 02:31:00,27.826999999999998,2.902,433.101,0.806,0.7689999999999999,345.49300000000005
2020-09-04 02:32:00,27.701,2.878,431.494,0.793,0.7599999999999999,345.08699999999993
2020-09-04 02:33:00,27.849166666666672,2.853333333333334,429.5641666666666,0.8008333333333334,0.7599999999999999,344.59083333333336
2020-09-04 02:34:00,27.99090909090909,2.839090909090908,428.28636363636366,0.8118181818181821,0.7518181818181818,343.76363636363635
2020-09-04 02:35:00,28.117999999999995,2.835,427.809,0.8180000000000002,0.75,343.02700000000004
2020-09-04 02:36:00,28.271818181818183,2.8454545454545457,428.10636363636365,0.84,0.7472727272727273,342.16818181818184
2020-09-04 02:37:00,28.395,2.8575,428.78,0.8558333333333333,0.7400000000000001,341.60999999999996
2020-09-04 02:38:00,28.430909090909093,2.862727272727273,429.3936363636363,0.8599999999999999,0.7400000000000001,341.08545454545447
2020-09-04 02:39:00,28.500833333333333,2.8775,429.75500000000005,0.8700000000000002,0.7400000000000001,340.6383333333334
2020-09-04 02:40:00,28.658181818181824,2.909090909090909,430.11181818181814,0.8936363636363637,0.7481818181818182,340.24545454545455
2020-09-04 02:41:00,28.622500000000002,2.9074999999999993,430.4883333333333,0.8866666666666667,0.75,339.90000000000003
2020-09-04 02:42:00,28.64636363636364,2.9263636363636367,431.08363636363634,0.8945454545454545,0.75,339.7309090909091
2020-09-04 02:43:00,28.643636363636368,2.9418181818181823,431.71181818181816,0.9036363636363638,0.75,339.61909090909097
2020-09-04 02:44:00,28.673636363636362,2.9590909090909094,432.5418181818181,0.9090909090909093,0.75,339.5709090909091
2020-09-04 02:45:00,28.584545454545456,2.967272727272727,433.6518181818182,0.911818181818182,0.75,339.59181818181816
2020-09-04 02:46:00,28.342727272727277,2.9845454545454544,434.84090909090907,0.8990909090909092,0.75,339.8845454545455
2020-09-04 02:47:00,26.868333333333336,2.9983333333333335,436.06916666666666,0.7824999999999999,0.7450000000000001,340.5399999999999
2020-09-04 02:48:00,25.800909090909098,3.0209090909090905,437.36636363636353,0.7181818181818183,0.7400000000000001,342.2372727272727
2020-09-04 02:49:00,26.271818181818183,3.0209090909090905,438.9445454545454,0.7545454545454546,0.7400000000000001,344.01909090909095
2020-09-04 02:50:00,26.9525,3.0091666666666668,440.27416666666664,0.8058333333333335,0.7400000000000001,345.0358333333334
2020-09-04 02:51:00,27.367999999999995,3.0089999999999995,441.203,0.8320000000000001,0.7420000000000001,345.49300000000005
2020-09-04 02:52:00,27.349999999999998,3.003333333333334,441.5883333333333,0.8283333333333335,0.7458333333333335,345.90749999999997
2020-09-04 02:53:00,27.531818181818185,3.0045454545454544,441.65727272727275,0.8445454545454545,0.7427272727272727,346.2872727272727
2020-09-04 02:54:00,27.567272727272726,3.001818181818182,441.64818181818185,0.8509090909090908,0.7400000000000001,346.53818181818184
2020-09-04 02:55:00,27.573333333333327,3.0033333333333334,441.17583333333323,0.8591666666666665,0.7400000000000001,346.58750000000003
2020-09-04 02:56:00,27.497999999999998,3.01,440.4799999999999,0.8539999999999999,0.7400000000000001,346.546
2020-09-04 02:57:00,26.875454545454545,3.0190909090909086,440.16727272727263,0.8100000000000002,0.7336363636363639,346.58454545454555
2020-09-04 02:58:00,26.73818181818182,3.0036363636363634,440.1763636363636,0.8009090909090909,0.7300000000000001,346.8681818181818
2020-09-04 02:59:00,27.069166666666664,2.9933333333333327,440.165,0.8316666666666666,0.7258333333333332,347.0566666666668
2020-09-04 03:00:00,27.220909090909085,2.9927272727272722,440.1218181818182,0.8463636363636362,0.7199999999999999,346.89727272727276
2020-09-04 03:01:00,27.312727272727273,2.991818181818182,440.1218181818182,0.8618181818181818,0.7199999999999999,346.59909090909093
2020-09-04 03:02:00,27.89636363636364,3.0072727272727273,440.3218181818182,0.9181818181818181,0.7199999999999999,346.2245454545454
2020-09-04 03:03:00,28.236363636363638,3.008181818181818,440.8036363636364,0.9472727272727276,0.7154545454545453,345.57363636363635
2020-09-04 03:04:00,28.214,3.027,441.3409999999999,0.96,0.71,344.8570000000001
2020-09-04 03:05:00,28.072727272727267,3.0281818181818183,441.9472727272727,0.9536363636363635,0.71,344.4472727272728
2020-09-04 03:06:00,27.898999999999994,3.0120000000000005,442.601,0.942,0.7010000000000002,344.33000000000004
2020-09-04 03:07:00,28.280909090909088,2.9927272727272736,443.02909090909094,0.980909090909091,0.6909090909090911,344.31545454545454
