time,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.steam_flow_in
2020-12-06 20:37:00,1.9375,45.01583333333334
2020-12-06 20:38:00,1.9708333333333332,45.59583333333333
2020-12-06 20:39:00,2.0274999999999994,45.32833333333334
2020-12-06 20:40:00,1.9991666666666665,44.46083333333333
2020-12-06 20:41:00,1.9983333333333333,43.90083333333333
2020-12-06 20:42:00,1.9633333333333332,43.97916666666668
2020-12-06 20:43:00,1.9708333333333332,43.94166666666666
2020-12-06 20:44:00,1.9541666666666668,43.56333333333333
2020-12-06 20:45:00,1.964166666666667,43.44166666666666
2020-12-06 20:46:00,1.9525,43.777499999999996
2020-12-06 20:47:00,1.9800000000000002,44.04083333333333
2020-12-06 20:48:00,1.9733333333333334,43.95916666666667
2020-12-06 20:49:00,1.9791666666666663,43.806666666666665
2020-12-06 20:50:00,1.9683333333333335,44.068333333333335
