,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext
2020-09-01 03:06:00,-0.24000000000000002,0.4486
2020-09-01 03:07:00,-0.44,0.4486
2020-09-01 03:08:00,-0.45,0.4486
2020-09-01 03:09:00,-0.12000000000000001,0.4486
2020-09-01 03:10:00,-0.55,0.32036875
2020-09-01 03:11:00,-0.0275,0.4486
2020-09-01 03:12:00,-0.33,0.4486
2020-09-01 03:13:00,-0.36000000000000004,0.4486
2020-09-01 03:14:00,-0.275,0.4486
2020-09-01 03:15:00,-0.44,0.4486
2020-09-01 03:16:00,-0.11,0.4486
2020-09-01 03:17:00,-0.264,0.4486
2020-09-01 03:18:00,-0.36000000000000004,0.4486
2020-09-01 03:19:00,-0.4675,0.4486
2020-09-01 03:20:00,-0.44,0.4486
2020-09-01 03:21:00,-0.27,0.4486
2020-09-01 03:22:00,-0.42,0.4486
2020-09-01 03:23:00,-0.198,0.32036875
2020-09-01 03:24:00,0.0,0.32036875
2020-09-01 03:25:00,0.030000000000000002,0.32036875
2020-09-01 03:26:00,0.165,0.4486
2020-09-01 03:27:00,0.0,0.4486
2020-09-01 03:28:00,-0.165,0.32036875
2020-09-01 03:29:00,-0.066,0.4486
2020-09-01 03:30:00,-0.30000000000000004,0.32036875
2020-09-01 03:31:00,-0.030000000000000002,0.4486
2020-09-01 03:32:00,-0.231,0.4486
2020-09-01 03:33:00,-0.5225000000000001,0.32036875
2020-09-01 03:34:00,-0.0275,0.32036875
2020-09-01 03:35:00,-0.055,0.4486
2020-09-01 03:36:00,-0.54,0.4486
2020-09-01 03:37:00,-0.11,0.4486
2020-09-01 03:38:00,-0.4675,0.4486
2020-09-01 03:39:00,-0.24750000000000003,0.4486
2020-09-01 03:40:00,-0.1925,0.4486
2020-09-01 03:41:00,-0.1925,0.4486
2020-09-01 03:42:00,-0.3575,0.4486
2020-09-01 03:43:00,-0.33,0.4486
2020-09-01 03:44:00,-0.55,0.4486
2020-09-01 03:45:00,-0.77,0.4486
2020-09-01 03:46:00,-0.7425,0.4486
2020-09-01 03:47:00,-0.6875,0.4486
2020-09-01 03:48:00,-0.3575,0.4486
2020-09-01 03:49:00,-0.4675,0.4486
2020-09-01 03:50:00,-0.5225000000000001,0.4486
2020-09-01 03:51:00,-0.13749999999999998,0.4486
