,CFBoilerOP.hp_steam_boiler_opt
2020-08-11 03:31:00,61.641271186440505
2020-08-11 03:39:00,60.271313559321285
2020-08-11 03:47:00,68.23830155367257
2020-08-11 03:55:00,63.17289194915247
2020-08-11 04:03:00,59.13407838983057
2020-08-11 04:11:00,60.00010240113073
2020-08-11 04:19:00,63.32039194915273
2020-08-11 04:27:00,57.35222810734466
2020-08-11 04:35:00,63.27715042372882
2020-08-11 04:43:00,55.062648305084764
2020-08-11 04:51:00,60.27205155367241
2020-08-11 04:59:00,56.38183262711907
2020-08-11 05:07:00,62.46725635593226
2020-08-11 05:15:00,57.65937499999981
2020-08-11 05:23:00,59.51593220339003
2020-08-11 05:31:00,58.52826624293772
2020-08-11 05:39:00,57.333516949153406
2020-08-11 05:47:00,59.61889830508444
2020-08-11 05:55:00,59.15728813559272
2020-08-11 06:03:00,62.26902542372901
2020-08-11 06:11:00,62.347966101694745
2020-08-11 06:19:00,57.75495762711921
2020-08-11 06:27:00,67.67546610169595
2020-08-11 06:35:00,59.258008474577224
2020-08-11 06:43:00,64.18355932203403
2020-08-11 06:51:00,58.03016949152494
2020-08-11 06:59:00,59.71999999999859
2020-08-11 07:07:00,59.19529661016901
2020-08-11 07:15:00,55.0
2020-08-11 07:23:00,55.0
2020-08-11 07:31:00,55.0
2020-08-11 07:39:00,57.700000000075974
2020-08-11 07:47:00,55.0
2020-08-11 07:55:00,56.1999999999718
2020-08-11 08:03:00,76.5
2020-08-11 08:11:00,75.4
2020-08-11 08:19:00,77.69494350282325
2020-08-11 08:27:00,78.27833333333267
2020-08-11 08:35:00,79.26638064971546
2020-08-11 08:43:00,76.6
2020-08-11 08:51:00,75.6
2020-08-11 08:59:00,79.03999999999762
2020-08-11 09:07:00,78.7
2020-08-11 09:15:00,75.9
2020-08-11 09:23:00,78.8
2020-08-11 09:31:00,77.3
2020-08-11 09:39:00,76.5
2020-08-11 09:47:00,78.4
2020-08-11 09:55:00,76.1
2020-08-11 10:03:00,78.1
2020-08-11 10:11:00,75.6
2020-08-11 10:19:00,78.0
2020-08-11 10:27:00,76.8
